spcd,band,id,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
BTBW,2740-81102,33,2015,5,7,m,plum,SY,63,19,10.27,NA,NA,3,5/9/2015,5/9/2015,Uninterrupted,1.423541554,1
BTBW,2740-81106,54,2015,5,8,m,plum,ASY,65,18.34,10.36,NA,NA,1,5/8/2015,5/8/2015,Interrupted,0.696741032,7
MAWA,2760-58117,55,2015,5,10,m,mol,ASY,63,17.57,8.58,0.51,6.48,NA,NA,NA,NA,NA,NA
MAWA,2760-58119,57,2015,5,10,m,mol,ASY,60,18.22,8.81,0.54,6.71,6,5/10/2015,5/15/2015,PostRelocation,NA,1
BTBW,2740-81110,59,2015,5,10,m,plum,ASY,64,17.54,10.5,NA,NA,6,NA,5/15/2015,PostRelocation,NA,1
MAWA,2760-58416,63,2015,5,26,m,mol,ASY,59,18.68,8.65,NA,NA,4,NA,5/29/2015,Uninterrupted,NA,1
MAWA,2760-58418,64,2015,5,26,m,mol,SY,56,17.85,7.94,NA,NA,3,NA,5/28/2015,Uninterrupted,NA,1
BTBW,2740-81158,65,2015,5,26,f,plum,SY,60,18.75,9.91,0.99,7.2,NA,NA,NA,NA,NA,NA
MAWA,2760-58415,66,2015,5,26,f,mol,SY,57,17.37,8.18,NA,NA,2,NA,5/27/2015,LPBOTIP,NA,2
MAWA,2760-58414,67,2015,5,26,f,mol,SY,58,17.34,8.41,NA,NA,1,NA,5/26/2015,NA,NA,0
MAWA,2760-58410,277,2015,5,25,f,mol,SY,58,17.66,8,NA,NA,5,5/29/2015,5/29/2015,Uninterrupted,2.276080636,1
MAWA,2760-58183,278,2015,5,24,m,mol,ASY,60,18.32,9.69,0.96,7.05,1,NA,5/24/2015,Interrupted,NA,4
MAWA,2760-58196,279,2015,5,24,m,mol,ASY,61,18.18,7.46,0.07,5.96,4,NA,5/27/2015,Uninterrupted,NA,1
MAWA,2760-58181,280,2015,5,24,NA,mol,SY,57,17.65,7.79,0.48,5.89,5,NA,5/28/2015,PostRelocation,NA,1
MAWA,2760-58403,281,2015,5,25,f,mol,ASY,58,17.96,7.6,NA,NA,2,5/26/2015,5/26/2015,Uninterrupted,1.778411906,1
MAWA,2760-58185,282,2015,5,24,f,mol,SY,55,16.61,8.17,0.71,6.08,1,5/24/2015,5/24/2015,Uninterrupted,2.449946196,1
MAWA,2760-58186,284,2015,5,24,f,mol,SY,57,18.45,8.4,0.69,6.22,2,5/25/2015,5/25/2015,Uninterrupted,2.284318332,1
MAWA,2760-58176,285,2015,5,23,f,mol,SY,56,17.7,8.52,1.03,6.09,2,NA,5/24/2015,PostRelocation,NA,1
MAWA,2760-58171,286,2015,5,22,m,mol,SY,55,18.13,8.42,1.05,6.01,3,5/22/2015,5/24/2015,PostRelocation,NA,2
MAWA,2760-58177,287,2015,5,23,f,mol,SY,56,17.84,9.04,0.93,6.73,2,5/24/2015,5/24/2015,Uninterrupted,2.363834916,1
MAWA,2760-58409,288,2015,5,25,m,mol,SY,59,17.85,8.6,NA,NA,4,5/28/2015,5/28/2015,Interrupted,0.878863392,2
